N,ph,sand,silt,cec,bulk density,clay,soc,fertility
138,7.46,70.79417,30.2935,27.964874,1.6154363,35.369125,0.7,0
213,7.62,70.8752,30.041927,27.964874,1.6154363,35.503357,1.06,0
163,7.59,70.14587,32.473793,28.522726,1.6154363,34.09396,1.11,0
157,7.64,69.82172,33.31237,28.801651,1.6154363,33.8255,0.94,0
220,7.43,70.14587,33.22851,28.894629,1.6154363,33.55705,0.72,0
220,7.62,70.226906,32.38994,28.801651,1.6154363,34.16107,0.81,0
207,7.63,70.632095,30.712788,29.173553,1.62349,35.10067,0.69,0
138,7.55,71.11832,30.209644,29.080578,1.62349,35.167786,0.78,0
144,7.53,71.28039,29.958073,29.080578,1.62349,35.2349,0.89,0
144,7.45,70.79417,30.2935,29.080578,1.62349,35.369125,0.81,0
182,7.47,70.8752,29.454926,29.26653,1.6194632,35.973156,0.67,0
238,7.38,70.8752,29.538784,28.70868,1.6194632,35.90604,0.75,0
213,7.38,70.14587,29.874214,29.359503,1.6194632,36.241608,0.61,0
245,7.31,69.497574,30.2935,29.638428,1.6154363,36.44295,0.78,0
213,7.36,69.254456,30.545073,30.19628,1.6194632,36.44295,0.69,0
207,7.62,69.011345,30.880505,30.19628,1.6194632,36.37584,0.75,0
207,7.55,68.444084,30.628931,30.103306,1.6194632,37.04698,0.64,0
201,7.44,68.363045,31.04822,30.01033,1.6194632,36.778526,0.78,0
220,7.42,68.52512,31.97065,30.01033,1.6194632,35.90604,0.61,0
245,7.58,68.768234,32.05451,30.103306,1.62349,35.637585,0.83,0
207,7.41,68.93031,32.05451,30.19628,1.62349,35.43624,1,0
207,7.4,69.011345,32.22222,29.82438,1.6275167,35.302013,0.67,0
245,7.29,69.092384,32.05451,28.987604,1.6275167,35.369125,0.61,0
182,7.62,69.335495,32.22222,28.70868,1.6275167,35.033558,0.47,0
220,7.48,69.335495,32.138367,28.70868,1.6275167,35.10067,0.67,0
238,7.59,69.092384,32.473793,29.638428,1.62349,35.033558,0.83,0
151,7.46,69.416534,32.30608,29.638428,1.62349,34.89933,0.86,0
207,7.44,69.416534,32.22222,29.452478,1.62349,34.966442,1,0
138,7.63,69.254456,32.138367,29.638428,1.6275167,35.167786,0.53,0
182,7.48,69.011345,33.0608,29.452478,1.6275167,34.56376,1.11,0
138,7.54,68.84927,33.31237,29.452478,1.62349,34.56376,0.54,0
207,7.52,68.768234,33.31237,29.359503,1.62349,34.630875,1.03,0
207,7.55,69.092384,33.396225,29.452478,1.62349,34.228188,0.83,0
138,7.48,69.092384,33.22851,29.545456,1.6275167,34.42953,0.94,0
138,7.65,69.254456,33.22851,29.545456,1.6275167,34.295303,1.03,0
107,7.43,68.93031,33.144653,28.522726,1.6275167,34.56376,0.75,0
19,7.38,68.93031,33.480083,28.987604,1.62349,34.362415,1.06,0
56,7.32,68.84927,33.396225,29.545456,1.6275167,34.496643,0.83,0
38,7.4,68.93031,33.31237,30.382233,1.62349,34.42953,0.92,0
25,7.33,69.74068,32.38994,30.754131,1.6275167,34.56376,0.78,0
88,7.52,69.011345,32.473793,30.01033,1.6194632,35.167786,0.78,0
144,7.57,69.254456,31.215933,30.382233,1.6114094,35.83893,0.92,0
226,7.62,69.335495,30.96436,30.19628,1.6154363,36.040268,0.75,0
213,7.55,69.983795,31.215933,30.289255,1.6194632,35.2349,0.75,0
195,7.57,70.632095,30.2935,30.01033,1.6154363,35.503357,0.69,0
31,7.33,69.902756,29.7065,28.615702,1.6154363,36.510067,0.83,0
69,7.51,70.551056,29.874214,28.150827,1.6114094,35.973156,0.78,0
182,7.57,70.551056,29.454926,27.964874,1.6154363,36.308723,0.78,0
19,7.49,70.47002,29.454926,28.801651,1.6154363,36.308723,0.61,0
132,7.31,70.307945,29.454926,29.173553,1.6114094,36.37584,0.67,0
163,7.32,70.14587,29.622643,29.731405,1.6114094,36.37584,0.75,0
182,7.23,69.983795,30.545073,29.638428,1.6073825,35.83893,0.81,0
201,7.51,69.497574,30.125788,30.19628,1.6114094,36.577183,0.83,0
6,7.47,70.632095,30.461216,31.21901,1.6033558,35.369125,0.81,0
56,7.46,71.19935,30.796644,30.940083,1.6033558,34.630875,0.89,0
132,7.62,71.60454,29.958073,30.568182,1.6073825,34.966442,0.75,0
69,7.5,71.84765,29.622643,30.103306,1.6114094,35.033558,0.78,0
13,7.5,71.76661,29.119495,31.033056,1.6154363,35.503357,0.67,0
6,7.4,71.28039,29.454926,31.033056,1.6114094,35.637585,0.81,0
220,7.6,71.44246,29.119495,31.311983,1.6114094,35.771812,0.83,0
151,7.3,72.41491,28.532494,29.452478,1.6114094,35.43624,0.75,0
201,7.6,72.00972,28.951782,30.568182,1.6073825,35.43624,0.39,0
151,7.6,71.84765,29.203354,30.475206,1.6114094,35.369125,0.88,0
75,7.8,71.92869,28.784067,30.475206,1.6114094,35.637585,0.1,0
232,7.7,71.5235,28.70021,31.033056,1.6114094,36.040268,0.68,0
207,7.7,70.95624,28.951782,29.917355,1.6073825,36.308723,0.49,0
188,7.6,72.00972,28.532494,29.731405,1.6073825,35.771812,0.2,0
126,7.7,72.49595,28.532494,29.82438,1.6073825,35.302013,0.39,0
207,7.6,72.41491,28.36478,29.82438,1.6073825,35.57047,0.68,0
213,7.7,70.95624,29.874214,29.917355,1.6033558,35.637585,0.2,0
69,7.7,70.95624,29.874214,29.917355,1.5993289,35.57047,0.1,0
220,7.5,71.11832,30.2935,30.01033,1.6033558,35.10067,0.29,0
163,7.5,71.28039,30.545073,30.01033,1.6073825,34.7651,1.17,0
138,7.4,71.60454,29.958073,30.103306,1.6194632,34.966442,0.88,0
88,7.5,71.11832,29.874214,30.19628,1.6194632,35.43624,0.1,0
195,7.4,71.5235,30.880505,30.01033,1.62349,34.295303,0.29,0
251,7.6,71.28039,30.880505,29.82438,1.62349,34.42953,0.88,0
207,7.4,72.33388,28.532494,30.382233,1.6154363,35.503357,0.1,0
195,7.5,71.68558,28.36478,30.382233,1.6154363,36.1745,0.49,0
220,7.7,73.06321,29.287212,30.475206,1.6114094,34.295303,0.78,0
251,7.6,73.30632,29.454926,30.661158,1.6114094,33.959732,1.07,0
238,7.7,73.14425,29.622643,30.661158,1.6154363,33.892616,0.88,0
119,7.6,73.14425,29.874214,31.126032,1.6154363,33.758392,0.49,0
163,7.5,72.73906,29.538784,30.475206,1.6154363,34.362415,0.68,0
207,7.5,72.73906,29.03564,30.19628,1.6154363,34.697987,0.2,0
138,7.5,72.33388,29.287212,30.19628,1.6154363,34.89933,1.17,0
126,7.5,72.41491,28.867924,30.847107,1.6154363,35.167786,0.98,0
157,7.4,72.00972,28.951782,31.033056,1.6114094,35.43624,0.88,0
201,7.6,72.25284,28.70021,31.21901,1.6114094,35.503357,0.1,0
257,7.4,72.41491,28.70021,31.126032,1.6073825,35.302013,0.78,0
201,7.5,72.49595,28.867924,31.497934,1.6073825,35.10067,0.59,0
257,7.5,72.49595,28.36478,30.754131,1.6073825,35.503357,0.39,0
251,7.6,72.57698,28.197063,30.847107,1.6073825,35.57047,0.68,0
201,7.5,72.25284,28.02935,31.683884,1.6073825,35.973156,0.49,0
232,7.4,72.41491,27.945492,31.683884,1.6114094,35.83893,0.29,0
195,7.4,72.8201,28.36478,32.055786,1.6073825,35.167786,0.1,0
251,7.4,72.65802,28.448637,31.869833,1.6073825,35.302013,0.59,0
226,7.4,72.49595,28.280922,31.96281,1.6073825,35.57047,0.29,0
213,7.7,72.65802,28.280922,32.427685,1.6073825,35.43624,0.78,0
132,7.5,72.65802,28.36478,31.21901,1.6154363,35.369125,0.49,0
195,7.5,72.73906,28.36478,31.21901,1.6154363,35.302013,0.68,0
50,7.6,71.92869,29.287212,31.311983,1.5953021,35.2349,1.17,0
201,7.5,72.00972,29.03564,31.033056,1.5993289,35.369125,0.88,0
100,7.6,71.84765,29.287212,31.497934,1.5953021,35.302013,0.1,0
232,7.6,71.76661,29.371069,31.683884,1.5953021,35.302013,1.27,0
69,7.6,71.03728,31.215933,30.661158,1.5953021,34.42953,0.68,0
31,7.5,70.79417,31.97065,30.940083,1.5953021,34.026844,1.17,0
63,7.4,71.19935,32.22222,30.289255,1.5993289,33.489933,0.88,0
132,7.5,71.36143,32.05451,30.382233,1.5953021,33.489933,0.78,0
201,7.7,70.8752,33.396225,30.289255,1.6033558,32.818794,0.1,0
63,7.6,70.307945,33.396225,29.917355,1.6033558,33.28859,0.59,0
195,7.5,69.902756,32.89308,29.638428,1.6033558,34.026844,0.15,0
207,7.5,70.47002,32.72537,29.359503,1.6033558,33.691277,0.44,0
126,7.6,70.8752,32.97694,30.475206,1.5993289,33.15436,0.47,0
88,7.6,70.8752,33.144653,31.126032,1.6033558,33.08725,0.29,0
163,7.5,70.8752,32.72537,31.033056,1.5993289,33.355705,0.97,0
138,7.6,71.11832,33.6478,31.497934,1.6033558,32.416107,0.32,0
188,7.7,72.90114,32.05451,30.103306,1.5993289,32.214767,0.27,0
195,7.6,72.90114,31.97065,29.82438,1.6033558,32.28188,0.15,0
195,7.61,72.73906,31.97065,29.917355,1.5993289,32.34899,0.21,0
182,7.46,72.65802,32.72537,30.382233,1.5993289,31.879194,0.29,0
188,7.52,72.41491,32.38994,30.289255,1.5993289,32.34899,0.35,0
132,7.43,72.90114,31.97065,30.289255,1.5993289,32.28188,0.38,0
213,7.48,73.06321,31.383648,30.847107,1.5953021,32.61745,0.47,0
144,7.46,71.19935,33.899372,30.475206,1.5912752,32.080536,0.53,0
182,7.57,69.659645,36.415096,29.26653,1.5953021,31.47651,0.35,0
182,7.62,71.60454,32.809223,28.522726,1.5953021,32.684563,0.29,0
132,7.54,71.68558,32.38994,29.26653,1.5953021,32.95302,0.12,0
138,7.73,70.79417,33.31237,29.26653,1.5993289,32.95302,0.97,0
207,7.58,71.60454,31.63522,29.359503,1.5953021,33.62416,0.76,0
113,7.6,70.71313,32.22222,29.545456,1.5953021,33.892616,0.71,0
220,7.67,70.226906,32.89308,30.19628,1.5953021,33.758392,0.35,0
126,7.4,70.551056,33.144653,30.19628,1.5953021,33.28859,0.29,0
163,7.37,71.03728,33.899372,29.82438,1.5953021,32.28188,0.38,0
201,7.31,70.79417,34.234802,29.82438,1.5953021,32.214767,0.47,0
100,7.44,70.38898,34.318657,30.289255,1.5912752,32.483223,0.35,0
69,7.36,70.226906,34.905663,30.01033,1.5832216,32.214767,0.41,0
333,7.53,70.71313,32.97694,29.82438,1.5912752,33.28859,0.44,0
220,7.43,69.902756,35.073376,31.033056,1.5912752,32.28188,0.12,0
232,7.38,70.38898,33.396225,30.475206,1.5791947,33.28859,0.44,0
176,7.54,70.47002,33.6478,30.475206,1.5751678,32.885906,0.47,0
188,7.59,70.95624,31.215933,29.545456,1.5791947,34.496643,0.35,0
88,7.43,71.36143,30.041927,29.638428,1.5912752,35.167786,0.53,0
82,7.61,71.5235,29.287212,29.080578,1.5912752,35.57047,0.5,0
169,7.57,71.84765,30.37736,28.987604,1.5993289,34.42953,0.65,0
245,7.42,71.11832,30.796644,30.19628,1.5953021,34.7651,0.24,0
201,7.41,71.68558,28.616352,30.01033,1.5993289,35.973156,0.53,0
213,7.35,71.76661,29.371069,28.801651,1.6033558,35.302013,0.88,0
207,7.54,70.307945,30.628931,29.359503,1.5993289,35.503357,0.29,0
251,7.73,70.8752,31.215933,30.19628,1.6073825,34.56376,0.82,0
163,7.62,71.28039,30.125788,31.033056,1.6114094,35.167786,0.47,0
213,7.71,71.19935,30.209644,30.19628,1.6194632,35.167786,0.74,0
207,7.4,71.03728,30.880505,30.382233,1.62349,34.7651,0.12,0
200,7.67,72.65802,31.04822,31.869833,1.6154363,33.221474,0.35,0
188,7.78,72.1718,31.383648,31.96281,1.6154363,33.355705,0.53,0
201,7.71,71.76661,31.886791,32.055786,1.6033558,33.28859,0.5,0
207,7.62,70.95624,32.05451,31.497934,1.5993289,33.8255,0.76,0
207,7.64,70.95624,33.815514,31.77686,1.6073825,32.34899,0.26,0
195,7.43,71.11832,33.563942,31.590908,1.6073825,32.483223,0.85,0
182,7.61,70.71313,34.234802,31.311983,1.6073825,32.34899,0.88,0
151,7.63,70.307945,33.98323,31.869833,1.6114094,32.818794,0.29,0
157,7.45,70.14587,33.6478,32.055786,1.6073825,33.15436,0.5,0
163,7.43,70.307945,32.89308,30.289255,1.6114094,33.691277,0.59,0
126,7.67,70.226906,32.97694,30.847107,1.6073825,33.691277,0.74,0
213,7.62,70.79417,33.0608,30.661158,1.6073825,33.15436,0.15,0
245,7.61,70.551056,33.563942,31.21901,1.6114094,32.885906,0.24,0
157,7.58,71.11832,34.067085,31.033056,1.6114094,32.080536,0.21,0
213,7.66,71.11832,33.480083,31.033056,1.6114094,32.550335,0.47,0
82,7.65,71.11832,33.396225,31.497934,1.6154363,32.61745,0.76,0
195,7.66,70.14587,33.731655,31.77686,1.6154363,33.15436,0.74,0
100,7.71,69.983795,33.98323,32.70661,1.6194632,33.08725,1.03,0
238,7.61,69.82172,33.6478,32.892563,1.6194632,33.489933,1.09,0
213,7.54,69.983795,33.22851,32.985535,1.6154363,33.691277,0.82,0
6,7.42,69.011345,33.22851,32.892563,1.6114094,34.496643,0.82,0
257,7.43,69.497574,33.899372,32.70661,1.6114094,33.55705,0.26,0
188,7.52,70.307945,34.067085,32.892563,1.6154363,32.75168,0.29,0
144,7.47,69.74068,34.402515,32.70661,1.6154363,32.885906,0.53,0
238,7.54,69.983795,34.234802,32.148758,1.6154363,32.885906,0.79,0
157,7.33,70.307945,33.731655,31.869833,1.6154363,33.020134,0.76,0
195,7.48,70.14587,33.563942,32.055786,1.6154363,33.221474,0.15,0
63,7.53,70.307945,33.6478,32.427685,1.6154363,33.020134,0.12,0
238,7.51,69.902756,34.067085,32.148758,1.62349,33.08725,0.1,0
163,7.43,69.983795,33.0608,30.847107,1.6194632,33.8255,0.49,0
232,7.47,70.307945,32.38994,29.82438,1.6194632,34.09396,0.2,0
132,7.71,70.47002,32.22222,30.289255,1.6194632,34.09396,0.59,0
207,7.64,69.254456,31.719076,30.289255,1.6154363,35.503357,0.39,0
195,7.62,69.578606,31.551363,30.01033,1.6154363,35.369125,0.29,0
138,7.53,69.092384,31.299791,29.917355,1.6154363,36.040268,1.07,0
251,7.41,69.173416,31.383648,30.475206,1.6194632,35.83893,0.68,0
207,7.57,69.011345,31.886791,30.847107,1.6194632,35.57047,0.39,0
264,7.67,69.416534,31.97065,31.033056,1.6194632,35.167786,0.49,0
201,7.63,68.444084,32.97694,30.289255,1.6194632,35.167786,0.1,0
257,7.62,68.363045,32.809223,29.545456,1.6154363,35.369125,0.59,0
144,7.71,68.52512,33.396225,29.917355,1.6114094,34.7651,0.39,0
251,7.53,68.687195,33.31237,30.382233,1.6154363,34.697987,0.88,0
182,7.51,69.092384,33.0608,29.26653,1.6194632,34.56376,0.29,0
75,7.61,69.173416,33.396225,29.545456,1.62349,34.228188,0.53,0
220,7.67,68.768234,32.72537,29.82438,1.62349,35.10067,0.79,0
195,7.65,68.93031,32.22222,29.917355,1.62349,35.369125,0.24,0
176,7.67,69.74068,32.05451,29.638428,1.6194632,34.89933,0.79,0
182,7.72,68.93031,31.551363,29.638428,1.6194632,35.83893,0.82,0
226,7.68,69.092384,31.551363,28.70868,1.62349,35.771812,0.5,0
257,7.7,68.93031,31.97065,28.987604,1.6194632,35.57047,0.47,0
232,7.62,69.173416,31.383648,29.545456,1.62349,35.83893,0.44,0
245,7.77,68.687195,30.125788,29.173553,1.62349,37.24832,0.74,0
251,7.65,68.52512,30.125788,29.173553,1.62349,37.38255,0.71,0
213,7.63,68.84927,29.790356,29.26653,1.62349,37.38255,0.24,0
264,7.5,68.687195,29.790356,29.359503,1.62349,37.516777,0.5,0
195,7.1,68.768234,29.119495,29.26653,1.6275167,38.05369,0.44,0
169,7.6,68.768234,29.03564,29.173553,1.62349,38.05369,0.78,0
201,7.5,68.768234,28.867924,28.801651,1.62349,38.18792,0.29,0
251,7.2,69.011345,28.784067,28.987604,1.62349,37.986576,0.68,0
207,7.6,69.335495,30.125788,28.057852,1.6275167,36.778526,0.2,0
207,8.1,69.74068,30.041927,27.778925,1.6275167,36.44295,0.1,0
151,7.3,70.064835,29.454926,27.871902,1.6275167,36.71141,0.2,0
270,7.5,69.659645,29.874214,27.871902,1.6275167,36.71141,0.59,0
238,7.6,70.307945,30.041927,27.68595,1.6275167,35.90604,0.1,0
251,7.8,70.79417,29.538784,27.871902,1.6315436,35.973156,0.88,0
264,7.6,70.8752,29.371069,27.68595,1.6315436,36.040268,0.1,0
257,7.5,71.36143,29.454926,28.150827,1.6355705,35.637585,0.78,0
201,7.23,71.11832,29.454926,28.429752,1.6355705,35.771812,0.49,0
213,7.16,70.8752,29.371069,28.150827,1.6355705,36.040268,0.1,0
169,7.03,70.47002,29.371069,27.592976,1.6355705,36.37584,0.68,0
201,7,70.551056,29.622643,28.522726,1.6355705,36.107384,0.88,0
270,7,72.00972,29.7065,29.080578,1.6355705,34.7651,0.39,0
238,6.96,71.60454,30.37736,28.801651,1.6395974,34.630875,1.17,0
176,9.97,71.68558,30.628931,28.894629,1.6395974,34.42953,0.78,0
245,7,71.68558,30.461216,28.894629,1.6355705,34.496643,0.1,0
201,7.16,71.28039,30.125788,28.801651,1.6395974,35.10067,0.39,0
207,7.02,70.632095,30.041927,29.080578,1.6395974,35.704697,0.59,0
257,7.01,70.632095,30.209644,29.638428,1.6395974,35.57047,0.29,0
220,7.05,70.307945,30.880505,30.289255,1.6355705,35.369125,0.68,0
213,7.05,69.902756,31.04822,31.497934,1.6355705,35.503357,0.29,0
201,7.07,69.82172,30.796644,32.427685,1.6355705,35.771812,0.1,0
188,7.14,69.82172,30.796644,33.171486,1.6315436,35.771812,0.39,0
207,7.17,69.983795,30.796644,32.799587,1.6315436,35.704697,0.78,0
320,7.08,69.578606,31.04822,32.892563,1.6355705,35.771812,0.2,0
220,7.12,69.578606,31.04822,33.357437,1.6315436,35.771812,0.59,0
213,7.1,69.578606,30.880505,32.613636,1.6315436,35.90604,0.29,0
264,7.19,69.578606,31.132076,32.799587,1.6315436,35.704697,0.98,0
195,7.15,69.011345,30.796644,32.70661,1.6315436,36.37584,0.1,0
182,7.31,69.092384,30.880505,32.33471,1.6315436,36.308723,0.88,0
201,7.14,69.578606,30.796644,31.77686,1.6315436,35.973156,0.2,0
232,7.16,69.497574,30.796644,31.590908,1.6275167,36.040268,0.68,0
169,7.17,69.74068,32.05451,31.033056,1.6315436,34.832214,0.1,0
238,7.21,69.902756,31.802937,30.382233,1.6315436,34.89933,0.88,0
201,7.23,69.82172,31.802937,30.475206,1.6275167,34.966442,0.49,0
69,7.21,69.74068,31.97065,30.847107,1.6395974,34.89933,0.39,0
213,7.24,70.064835,30.796644,30.568182,1.6395974,35.57047,0.68,0
207,7.24,70.064835,31.383648,30.754131,1.6355705,35.10067,0.78,0
213,7.21,70.226906,31.299791,30.289255,1.6395974,35.033558,0.2,0
138,7.21,70.14587,31.132076,28.429752,1.6275167,35.167786,0.88,0
195,7.24,69.578606,31.63522,28.429752,1.6275167,35.369125,1.17,0
201,7.3,69.254456,31.719076,28.70868,1.6275167,35.503357,0.1,0
151,7.26,69.254456,31.383648,28.057852,1.6315436,35.771812,0.68,0
201,7.2,69.254456,31.299791,27.407024,1.6315436,35.83893,0.49,0
82,7.18,68.84927,30.796644,27.778925,1.6315436,36.577183,0.88,0
207,7.27,68.84927,30.96436,27.871902,1.6315436,36.44295,0.78,0
201,7.22,68.52512,31.383648,27.407024,1.6275167,36.37584,0.59,0
132,7.21,68.687195,31.215933,27.592976,1.6275167,36.37584,0.29,0
264,7.27,68.84927,30.712788,27.871902,1.6275167,36.644295,1.07,0
195,7.26,68.84927,31.299791,27.1281,1.6275167,36.1745,0.39,0
238,7.25,68.93031,31.383648,27.221075,1.6275167,36.040268,0.29,0
138,7.31,68.444084,32.64151,27.407024,1.62349,35.43624,0.1,0
213,7.07,69.254456,32.138367,28.243801,1.6194632,35.167786,0.78,0
201,7.03,69.092384,31.719076,28.243801,1.62349,35.57047,1.07,0
163,7.14,68.768234,31.63522,28.243801,1.6154363,35.973156,0.88,0
88,7.07,69.011345,31.383648,27.5,1.6154363,35.973156,0.49,0
50,7.06,70.38898,30.041927,27.778925,1.6154363,35.90604,0.68,0
220,7.07,70.551056,29.371069,28.150827,1.6073825,36.308723,0.29,0
169,7.17,70.632095,29.03564,28.057852,1.6073825,36.510067,0.78,0
207,7.12,70.551056,29.371069,28.243801,1.6114094,36.308723,0.2,0
144,7.1,71.5235,29.958073,27.5,1.6114094,35.033558,0.78,0
251,7.12,72.1718,29.958073,27.592976,1.6154363,34.56376,0.1,0
195,7.15,72.09076,30.041927,27.778925,1.6154363,34.496643,0.68,0
201,7.12,71.68558,29.7065,28.057852,1.6194632,35.10067,1.17,0
88,7.12,71.36143,29.454926,27.407024,1.62349,35.637585,0.88,0
201,7.11,71.5235,28.867924,27.314049,1.6194632,35.83893,0.2,0
257,7.14,71.60454,29.790356,27.221075,1.6194632,35.033558,0.59,0
176,7.15,71.68558,29.874214,27.592976,1.6194632,34.966442,0.39,0
201,7.15,71.5235,29.538784,27.871902,1.6194632,35.369125,0.1,0
88,7.14,71.36143,29.958073,28.70868,1.6194632,35.2349,1.07,0
232,7.21,71.28039,30.209644,28.70868,1.6194632,35.033558,0.78,0
201,7.23,71.36143,29.874214,29.080578,1.6194632,35.167786,0.39,0
69,7.2,70.38898,31.299791,29.545456,1.62349,34.89933,0.88,0
220,7.23,70.38898,31.04822,29.359503,1.62349,35.10067,0.29,0
138,7.28,70.38898,31.215933,29.452478,1.62349,34.966442,0.68,0
232,7.3,70.551056,31.467505,28.801651,1.62349,34.56376,0.2,0
195,7.3,71.92869,32.38994,28.429752,1.62349,32.684563,0.1,0
213,7.35,71.44246,32.22222,27.964874,1.62349,33.221474,1.07,0
169,7.29,71.36143,32.55765,27.68595,1.62349,33.020134,0.39,0
182,7.18,71.5235,32.809223,27.407024,1.62349,32.75168,0.88,0
94,7.32,70.8752,32.55765,27.592976,1.6194632,33.489933,0.1,0
201,7.37,71.36143,31.802937,27.1281,1.6194632,33.691277,0.59,0
213,7.49,71.11832,32.72537,27.407024,1.62349,33.221474,0.78,0
207,7.39,70.79417,32.30608,27.221075,1.6315436,33.758392,0.2,0
94,7.42,72.25284,32.64151,27.1281,1.62349,32.28188,1.17,0
195,7.44,72.00972,33.480083,28.057852,1.62349,31.81208,0.88,0
201,7.51,71.84765,33.563942,27.407024,1.62349,31.879194,0.68,0
220,7.53,72.09076,33.31237,27.68595,1.6275167,31.946308,0.78,0
207,7.54,72.09076,32.64151,27.871902,1.6275167,32.416107,0.29,0
201,7.49,72.09076,31.886791,27.68595,1.6275167,33.020134,0.88,0
195,7.53,73.22528,30.712788,27.871902,1.6275167,32.95302,0.59,0
207,8.02,73.06321,30.712788,27.68595,1.6315436,33.08725,1.17,0
176,7.82,73.4684,29.538784,28.057852,1.6315436,33.8255,0.29,0
132,7.62,73.87358,29.538784,27.314049,1.6275167,33.422817,0.88,0
245,7.56,74.84602,30.041927,27.592976,1.62349,32.214767,0.1,0
188,7.57,74.76499,30.37736,28.336777,1.62349,32.013424,0.2,0
238,7.56,72.65802,31.04822,27.871902,1.6315436,33.15436,0.68,0
188,7.51,72.33388,30.96436,27.035124,1.6355705,33.55705,1.17,0
207,7.62,71.76661,31.215933,26.663223,1.6355705,33.8255,0.1,0
257,7.66,71.84765,31.215933,27.314049,1.6355705,33.758392,0.88,0
25,7.72,72.33388,31.886791,28.057852,1.6355705,32.818794,0.39,0
176,7.55,72.33388,32.138367,28.243801,1.6315436,32.61745,1.17,0
126,7.52,72.25284,31.467505,28.243801,1.6275167,33.221474,0.88,0
264,7.68,72.09076,31.215933,27.964874,1.6275167,33.55705,1.27,0
245,8,71.76661,30.2935,28.429752,1.6275167,34.630875,0.39,0
169,7.9,71.36143,29.790356,27.871902,1.6275167,35.302013,1.07,0
182,7.5,72.25284,29.371069,28.336777,1.6275167,34.89933,0.78,0
201,7.6,72.65802,29.119495,28.243801,1.6275167,34.7651,0.2,0
251,7.5,72.33388,30.712788,29.173553,1.6275167,33.691277,0.39,0
